D1,D2,MW,ZN
-71.99836981,49.71250392,847.1105,0
-126.4254316,50.97127737,852.849,0
-96.49588972,9.786217048,843.7702,0
-57.19229634,-1.407578712,842.8279,0
-27.73148177,-6.196637198,837.7744,0
11.75139364,-2.034216951,828.438,0
-4.933325291,-2.086031576,831.6073,0
5.924172539,-3.305716495,825.7827,0
-15.67818352,18.18251906,831.5216,0
2.273658642,18.62161308,831.3503,0
98.4413169,-18.90156824,814.0487,0
103.5681725,-1.816337616,815.0762,0
97.2491889,14.11397801,811.3931,0
105.024522,35.71008315,807.2821111,0
81.17976605,-4.367072016,812.5923,0
29.17615116,13.98418885,820.4723,0
12.08633975,48.74234511,823.5557,0
-20.89354315,35.58152305,827.1533,0
-93.92935824,42.13667914,840.601,0
-131.2614016,34.61219584,854.2198,0
-14.21793619,8.281935665,845.1406,0
41.58668158,6.361202226,835.2047,0
20.72670204,31.93345588,837.0892,0
-8.649476246,37.63426696,834.1767,0
-119.5653575,40.19187415,860.301,0
-45.25017037,20.54277078,848.8235,0
5.672984062,18.93740851,840.6009,0
6.777076906,40.35520356,836.7466,0
-23.95218178,34.01631064,839.7443,0
-63.0357694,49.60503798,842.314,0
-51.64416192,36.66901782,850.194,0
-16.55415023,-8.252059873,850.6223,0
83.16388287,-38.03683078,837.4317,0
224.959633,-50.87717166,807.7099,0
