date,time,HHA11AS001XQ01,HHA12AS001XQ01,HHA13AS001XQ01,HHA14AS001XQ01,HHA31AS001XQ01,HHA32AS001XQ01,HHA33AS001XQ01,HHA34AS001XQ01,HHA71AS001XQ01,HHA72AS001XQ01,HHA73AS001XQ01,HHA74AS001XQ01,HHA81AS001XQ01,HHA82AS001XQ01,HHA83AS001XQ01,HHA84AS001XQ01,HHA51AS001XQ01,HHA52AS001XQ01,HHA53AS001XQ01,HHA54AS001XQ01,HNA00AA001AXQ01,HNA00AA001BXQ01,HNA00AA002AXQ01,HNA00AA002BXQ01,YRHRPRS,YRHRTEMPT,RRHRPRS,RRHRTEMPT,LAF01CG101XQ01,LAF02CG101XQ01,LAF11CG101XQ01,LAF12CG101XQ01,LAF13CG101XQ01,LAF14CG101XQ01,LAF21CG101XQ01,LAF22CG101XQ01,LAF31CG101XQ01,LAF32CG101XQ01,LAF33CG101XQ01,LAF34CG101XQ01,LAB80CT101,LBC21CT101,LBC21CP101,LBC51CP101,LBC51CT101,MW,MWD2,MSP,MSPS,THRTEMP,A02P003G,A02P004G,PAB10CT101,PAB10CT102,PAB20CT101,PAB20CT102,NOM,LAE11CG101XQ01,LAE12CG101XQ01,LAE13CG101XQ01,LAE14CG101XQ01,LAE21CG101XQ01,LAE22CG101XQ01,LAE23CG101XQ01,LAE24CG101XQ01,BMOUT,FWFLOW,A09M210SHH,TOTALCOAL,TAF,O2,SELFP1,A017P005
2016/6/25,10:50:00,84,84,84,84,84,84,84,84,65,65,65,65,65,65,65,65,84,84,84,84,70,70,100,100,8.21886,598.3545,2.04518,591.6095,0.201465,0.091576,0.335776,0.091576,0.82112476,0.750916,15.21978,15.0488,0.457875,0.152625,0.091576,0.091576,299.8931,420.4157,8.099047,2.555569,427.5892,753.3202,752.0888,25.49572,25.0493,596.5532,208396,7509.13,27.079,27.03772,26.98364,27.00941,5,7.445048,0.579976,38.25398,1.208795,7.570204,36.73995,52.74115,1.391945,781.225,1936.846,2864.443,288.2879,2910.418,3.461859,0,141.296
2016/6/25,11:00:00,80,80,80,80,80,80,80,80,65,65,65,65,65,65,65,65,80,80,80,80,70,70,100,100,8.21886,593.9187,2.04518,587.4541,0.201465,0.091576,0.335776,0.091576,0,0.757021,13.534779,13.55309,0.457875,0.152625,0.091576,0.091576,298.8472,418.4701,8.088972,2.535723,425.5444,750.0653,750.7323,24.37789,24.70137,590.6409,208407.6,7509.13,27.079,27.0403,26.98364,27.00684,5,0,0.579976,30.95848,1.25153,1.25153,6.855924,10.946276,1.42247,794.625,2012.332,2830.678,305.0552,2888.814,3.999999,0,141.296
2016/6/25,11:10:00,80,80,80,80,80,80,80,80,65,65,65,65,65,65,65,65,80,80,80,80,70,70,100,100,8.21886,595.5286,2.04518,589.0825,0.201465,0.091576,0.329671,0.091576,0,0.763126,10.122099,10.097658,0.457875,0.152625,0.091576,0.091576,299.392,418.8998,8.056912,2.53725,424.8532,748.4378,746.6684,24.90231,24.89622,593.7086,208419.1,7509.13,27.079,27.04546,26.99912,27.02226,5,0,0.579976,37.08793,1.25153,1.306475,4.46276,31.086708,1.41026,782.0802,1950.039,2837.754,291.8709,2894.899,3.529487,0.00015261,141.296
2016/6/25,11:20:00,80,80,80,80,80,80,80,80,65,65,65,65,65,65,65,65,80,80,80,80,70,70,100,100,8.21886,594.6278,2.04518,588.7163,0.20757,0.091576,0.335776,0.091576,0,0.763126,10.07936,10.09769,0.4639801,0.152625,0.091576,0.091576,297.5654,418.4812,7.817842,2.460917,425.3879,725.9112,725.0445,24.60256,24.18711,593.0738,208430.9,7509.13,27.079,27.04804,27.0017,27.01969,5,0,0.579976,41.1844,1.25153,1.37363,4.42613,44.54824,1.39805,751.8953,1894.544,2863.309,282.4551,2787.152,3.829487,0,141.6968
2016/6/25,11:30:00,80,80,80,80,80,80,80,80,65,65,65,65,65,65,65,65,80,80,80,80,70,70,100,100,8.21886,590.5935,2.04518,584.4708,0.213675,0.091576,0.335776,0.091576,0,0.763126,10.012192,10.1038,0.457875,0.152625,0.091576,0.091576,295.8082,415.9945,7.639227,2.40077,423.1286,708.5236,710.4642,23.53234,23.5533,587.5666,208442.5,7509.13,27.079,27.0403,26.99396,27.01198,5,0,0.579976,41.1783,1.25153,1.379735,3.553115,14.047617,1.379735,743.03,1883.994,2839.755,285.0843,2738.484,4.246476,0,143.3
2016/6/25,11:40:00,80,80,80,80,80,80,80,80,65,65,65,65,65,65,65,65,80,80,80,80,70,70,100,100,8.21886,589.8829,2.04518,583.8005,0.213675,0.091576,0.335776,0.091576,0,0.793651,9.945055,10.1038,0.457875,0.152625,0.091576,0.091576,296.248,415.6121,7.703344,2.422753,421.1663,712.2922,710.7535,23.51038,23.66813,587.0494,208454.1,7509.13,27.079,27.0532,26.99912,27.0274,5,0,0.579976,29.07814,1.306475,1.42247,3.60806,7.002431,1.391945,748.7479,1879.084,2817.808,282.91,2757.44,3.69936,0,144.7035
2016/6/25,11:50:00,84,84,84,84,84,84,84,84,65,65,65,65,65,65,65,65,84,84,84,84,70,70,100,100,8.21886,590.0606,2.04518,584.1553,0.213675,0.091576,0.335776,0.091576,0,0.775336,10.097654,10.1038,0.457875,0.152625,0.091576,0.091576,296.1002,416.2827,7.682278,2.418784,421.3276,710.4935,710.6849,23.70574,23.61204,589.5601,208465.9,7509.13,27.079,27.05836,27.0017,27.0274,5,0,0.579976,21.0317,1.31258,1.31258,3.62027,28.90721,1.379735,743.7801,1875.224,2827.222,286.0667,2746.4,3.640384,0,145.305
2016/6/25,12:00:00,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,70,70,100,100,8.21886,591.8169,2.04518,586.0109,0.213675,0.091576,0.335776,0.091576,0,0.763126,10.531109,10.5922,0.457875,0.152625,0.091576,0.091576,296.8741,418.1902,7.861808,2.460613,421.6736,727.3673,728.3707,23.89255,23.8263,592.678,208477.4,7509.13,27.11512,27.079,27.01455,27.0403,5,0.265568,0.579976,21.11108,1.27595,1.623935,4.42613,45.17095,1.41026,761.8698,1934.765,2830.891,303.43,2810.854,3.40641,0.000763114,145.305
2016/6/25,12:10:00,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,74,74,100,100,8.21886,594.1266,2.04518,588.1795,0.213675,0.091576,0.329671,0.091576,0,0.763126,15.1648,15.0061,0.457875,0.152625,0.091576,0.091576,298.6622,419.2491,8.007446,2.515268,423.4208,742.6135,741.773,24.42552,24.495,592.3184,208489,7509.13,27.09964,27.07384,27.00427,27.0274,5,0,0.579976,21.0317,1.2149,1.15385,4.13309,39.60318,1.379735,774.2491,1958.359,2813.156,299.3098,2857.063,3.571474,0,145.305
2016/6/25,12:20:00,85,85,85,85,85,85,85,85,65,65,65,65,65,65,65,65,85,85,85,85,86,86,100,100,8.21886,595.5222,2.04518,588.9882,0.213675,0.091576,0.329671,0.091576,0.17704584,0.763126,15.04273,15.0244,0.457875,0.152625,0.091576,0.091576,298.9961,419.069,8.063322,2.53328,424.602,748.2668,747.7359,24.60805,24.68537,593.441,208500.9,7509.13,27.09706,27.07126,27.0017,27.0274,5,0.222833,0.579976,21.11718,1.19048,1.514045,4.920635,38.0342,1.367525,781.4356,1974.591,2820.353,307.8125,2875.066,3.475321,0,145.305
